Destination ,Year,Export,Type
Switzerland,2016,19.8887,Base Precious Metal
Switzerland,2017,21.4146,Base Precious Metal
Switzerland,2018,15.0258,Base Precious Metal
Thailand,2012,16.655764,Base Precious Metal
Thailand,2013,16.8623,Base Precious Metal
Thailand,2014,16.7709,Base Precious Metal
Thailand,2015,14.3131,Base Precious Metal
Thailand,2016,12.5073,Base Precious Metal
Thailand,2017,14.675,Base Precious Metal
Thailand,2018,12.2781,Base Precious Metal
China,2012,20.353258,Base Precious Metal
China,2013,16.7508,Base Precious Metal
China,2014,18.5273,Base Precious Metal
China,2015,5.1687,Base Precious Metal
China,2016,11.7732,Base Precious Metal
China,2017,5.1984,Base Precious Metal
China,2018,4.8155,Base Precious Metal
"Korea, Republic of",2012,27.041583,Base Precious Metal
"Korea, Republic of",2013,46.0631,Base Precious Metal
"Korea, Republic of",2014,82.6355,Base Precious Metal
"Korea, Republic of",2015,37.2056,Base Precious Metal
"Korea, Republic of",2016,9.2617,Base Precious Metal
"Korea, Republic of",2017,21.2899,Base Precious Metal
"Korea, Republic of",2018,9.4859,Base Precious Metal
United State,2012,6.432424,Base Precious Metal
United State,2013,8.6886,Base Precious Metal
United State,2014,10.0599,Base Precious Metal
United State,2015,7.4073,Base Precious Metal
United State,2016,9.1197,Base Precious Metal
United State,2017,12.0362,Base Precious Metal
United State,2018,13.8089,Base Precious Metal
Others,2012,56.593525,Base Precious Metal
Others,2013,65.2723,Base Precious Metal
Others,2014,115.8019,Base Precious Metal
Others,2015,116.2435,Base Precious Metal
Others,2016,85.1266,Base Precious Metal
Others,2017,130.0424,Base Precious Metal
Others,2018,192.5252,Base Precious Metal
China,2012,671.9,Basic Chemistry Organic of Agriculture
China,2013,751.3,Basic Chemistry Organic of Agriculture
China,2014,1437.6,Basic Chemistry Organic of Agriculture
China,2015,589,Basic Chemistry Organic of Agriculture
China,2016,738.8,Basic Chemistry Organic of Agriculture
China,2017,799.2,Basic Chemistry Organic of Agriculture
China,2018,1247.4,Basic Chemistry Organic of Agriculture
Netherlands,2012,756.4,Basic Chemistry Organic of Agriculture
Netherlands,2013,520.9,Basic Chemistry Organic of Agriculture
Netherlands,2014,577.1,Basic Chemistry Organic of Agriculture
Netherlands,2015,486.5,Basic Chemistry Organic of Agriculture
Netherlands,2016,510.3,Basic Chemistry Organic of Agriculture
Netherlands,2017,728.5,Basic Chemistry Organic of Agriculture
Netherlands,2018,671.4,Basic Chemistry Organic of Agriculture
United States,2012,124.6,Basic Chemistry Organic of Agriculture
United States,2013,321,Basic Chemistry Organic of Agriculture
United States,2014,318.7,Basic Chemistry Organic of Agriculture
United States,2015,284.9,Basic Chemistry Organic of Agriculture
United States,2016,406.4,Basic Chemistry Organic of Agriculture
United States,2017,265.2,Basic Chemistry Organic of Agriculture
United States,2018,286.7,Basic Chemistry Organic of Agriculture
Malaysia,2012,420,Basic Chemistry Organic of Agriculture
Malaysia,2013,544.1,Basic Chemistry Organic of Agriculture
Malaysia,2014,446.2,Basic Chemistry Organic of Agriculture
Malaysia,2015,258.9,Basic Chemistry Organic of Agriculture
Malaysia,2016,402.8,Basic Chemistry Organic of Agriculture
Malaysia,2017,433.2,Basic Chemistry Organic of Agriculture
Malaysia,2018,408.9,Basic Chemistry Organic of Agriculture
India,2012,157.7,Basic Chemistry Organic of Agriculture
India,2013,170.5,Basic Chemistry Organic of Agriculture
India,2014,276.2,Basic Chemistry Organic of Agriculture
India,2015,275.2,Basic Chemistry Organic of Agriculture
India,2016,284.1,Basic Chemistry Organic of Agriculture
India,2017,436.6,Basic Chemistry Organic of Agriculture
India,2018,483.9,Basic Chemistry Organic of Agriculture
Singapore,2012,230,Basic Chemistry Organic of Agriculture
Singapore,2013,383.8,Basic Chemistry Organic of Agriculture
Singapore,2014,241.2,Basic Chemistry Organic of Agriculture
Singapore,2015,213.6,Basic Chemistry Organic of Agriculture
Singapore,2016,233.1,Basic Chemistry Organic of Agriculture
Singapore,2017,246.6,Basic Chemistry Organic of Agriculture
Singapore,2018,237.2,Basic Chemistry Organic of Agriculture
"Korea, Republic of",2012,110.4,Basic Chemistry Organic of Agriculture
"Korea, Republic of",2013,100.9,Basic Chemistry Organic of Agriculture
"Korea, Republic of",2014,139.2,Basic Chemistry Organic of Agriculture
"Korea, Republic of",2015,118.9,Basic Chemistry Organic of Agriculture
"Korea, Republic of",2016,149.5,Basic Chemistry Organic of Agriculture
"Korea, Republic of",2017,173.3,Basic Chemistry Organic of Agriculture
"Korea, Republic of",2018,164.7,Basic Chemistry Organic of Agriculture
Spain,2012,472.4,Basic Chemistry Organic of Agriculture
Spain,2013,260.4,Basic Chemistry Organic of Agriculture
Spain,2014,268.8,Basic Chemistry Organic of Agriculture
Spain,2015,115.9,Basic Chemistry Organic of Agriculture
Spain,2016,127.5,Basic Chemistry Organic of Agriculture
Spain,2017,272.6,Basic Chemistry Organic of Agriculture
Spain,2018,472,Basic Chemistry Organic of Agriculture
Japan,2012,110.3,Basic Chemistry Organic of Agriculture
Japan,2013,127.6,Basic Chemistry Organic of Agriculture
Japan,2014,95,Basic Chemistry Organic of Agriculture
Japan,2015,93.7,Basic Chemistry Organic of Agriculture
Japan,2016,120.6,Basic Chemistry Organic of Agriculture
Japan,2017,169.6,Basic Chemistry Organic of Agriculture
Japan,2018,176.3,Basic Chemistry Organic of Agriculture
Germany,2012,58.9,Basic Chemistry Organic of Agriculture
Germany,2013,50.6,Basic Chemistry Organic of Agriculture
Germany,2014,57,Basic Chemistry Organic of Agriculture
Germany,2015,54.6,Basic Chemistry Organic of Agriculture
Germany,2016,88.5,Basic Chemistry Organic of Agriculture
Germany,2017,119.8,Basic Chemistry Organic of Agriculture
Germany,2018,86.5,Basic Chemistry Organic of Agriculture
Others,2012,1224.2,Basic Chemistry Organic of Agriculture
Others,2013,893.2,Basic Chemistry Organic of Agriculture
Others,2014,874.3,Basic Chemistry Organic of Agriculture
Others,2015,682.8,Basic Chemistry Organic of Agriculture
Others,2016,637.3,Basic Chemistry Organic of Agriculture
Others,2017,759.7,Basic Chemistry Organic of Agriculture
Others,2018,911.9,Basic Chemistry Organic of Agriculture
Hongkong,2012,59.048332,Bird Nest
Hongkong,2013,67.598204,Bird Nest
Hongkong,2014,65.621816,Bird Nest
Hongkong,2015,42.90744058,Bird Nest
Hongkong,2016,117.3193739,Bird Nest
Hongkong,2017,132.233,Bird Nest
Hongkong,2018,88.0482,Bird Nest
China,2012,0.410931,Bird Nest
China,2013,0.141775,Bird Nest
China,2014,0,Bird Nest
China,2015,16.41260335,Bird Nest
China,2016,35.70404,Bird Nest
China,2017,102.8977,Bird Nest
China,2018,139.8214,Bird Nest
Singapore,2012,77.081302,Bird Nest
Singapore,2013,64.799762,Bird Nest
Singapore,2014,39.946832,Bird Nest
Singapore,2015,20.80211746,Bird Nest
Singapore,2016,18.4041376,Bird Nest
Singapore,2017,8.2138,Bird Nest
Singapore,2018,20.1743,Bird Nest
United States,2012,7.699982,Bird Nest
United States,2013,8.615697,Bird Nest
United States,2014,7.891465,Bird Nest
United States,2015,7.976983545,Bird Nest
United States,2016,10.44527683,Bird Nest
United States,2017,13.2486,Bird Nest
United States,2018,12.772,Bird Nest
Vietnam,2012,0.00309,Bird Nest
Vietnam,2013,3.586958,Bird Nest
Vietnam,2014,6.806947,Bird Nest
Vietnam,2015,5.917148362,Bird Nest
Vietnam,2016,6.522939021,Bird Nest
Vietnam,2017,19.0873,Bird Nest
Vietnam,2018,25.986,Bird Nest
Canada,2012,4.246293,Bird Nest
Canada,2013,3.674364,Bird Nest
Canada,2014,2.004266,Bird Nest
Canada,2015,2.018838261,Bird Nest
Canada,2016,1.991033589,Bird Nest
Canada,2017,2.2759,Bird Nest
Canada,2018,2.281,Bird Nest
Taiwan,2012,0.46005,Bird Nest
Taiwan,2013,1.581098,Bird Nest
Taiwan,2014,2.537201,Bird Nest
Taiwan,2015,3.439905483,Bird Nest
Taiwan,2016,1.610471451,Bird Nest
Taiwan,2017,1.5266,Bird Nest
Taiwan,2018,1.0135,Bird Nest
Thailand,2012,4.105543,Bird Nest
Thailand,2013,2.023346,Bird Nest
Thailand,2014,2.693917,Bird Nest
Thailand,2015,0.165965668,Bird Nest
Thailand,2016,0.113119052,Bird Nest
Thailand,2017,0.0909,Bird Nest
Thailand,2018,0.0867,Bird Nest
Japan,2012,0.147944,Bird Nest
Japan,2013,0.11369,Bird Nest
Japan,2014,0.024039,Bird Nest
Japan,2015,0.064305,Bird Nest
Japan,2016,0.0976335,Bird Nest
Japan,2017,0.2024,Bird Nest
Japan,2018,0.0142,Bird Nest
Cambodia,2012,0.00018,Bird Nest
Cambodia,2013,0.001159,Bird Nest
Cambodia,2014,0.002827,Bird Nest
Cambodia,2015,0.000075,Bird Nest
Cambodia,2016,0.096845,Bird Nest
Cambodia,2017,0.0222,Bird Nest
Cambodia,2018,0,Bird Nest
Others,2012,0.201249,Bird Nest
Others,2013,1.094715,Bird Nest
Others,2014,0.509251,Bird Nest
Others,2015,0.114127953,Bird Nest
Others,2016,0.190546851,Bird Nest
Others,2017,0.4859,Bird Nest
Others,2018,0.3617,Bird Nest
Vietnam,2012,83.600115,Black Pepper
Vietnam,2013,55.462222,Black Pepper
Vietnam,2014,16.927679,Black Pepper
Vietnam,2015,124.6016845,Black Pepper
Vietnam,2016,61.44146742,Black Pepper
Vietnam,2017,16.1346,Black Pepper
Vietnam,2018,9.6697,Black Pepper
United State,2012,121.47884,Black Pepper
United State,2013,75.333703,Black Pepper
United State,2014,35.978926,Black Pepper
United State,2015,77.91439823,Black Pepper
United State,2016,49.14854659,Black Pepper
United State,2017,28.3535,Black Pepper
United State,2018,8.1849,Black Pepper
India,2012,29.996835,Black Pepper
India,2013,13.072411,Black Pepper
India,2014,21.440682,Black Pepper
India,2015,23.063762,Black Pepper
India,2016,38.84078357,Black Pepper
India,2017,13.1296,Black Pepper
India,2018,9.4419,Black Pepper
France,2012,1.97438,Black Pepper
France,2013,3.332665,Black Pepper
France,2014,2.455714,Black Pepper
France,2015,4.5760955,Black Pepper
France,2016,12.78552744,Black Pepper
France,2017,7.5928,Black Pepper
France,2018,1.41,Black Pepper
China,2012,10.538142,Black Pepper
China,2013,4.853069,Black Pepper
China,2014,9.57005,Black Pepper
China,2015,21.15145875,Black Pepper
China,2016,12.49366569,Black Pepper
China,2017,1.8729,Black Pepper
China,2018,2.6774,Black Pepper
Germany,2012,5.166064,Black Pepper
Germany,2013,2.586885,Black Pepper
Germany,2014,6.76751,Black Pepper
Germany,2015,9.16468,Black Pepper
Germany,2016,9.28246459,Black Pepper
Germany,2017,2.8958,Black Pepper
Germany,2018,1.8439,Black Pepper
Netherlands,2012,4.596888,Black Pepper
Netherlands,2013,4.951823,Black Pepper
Netherlands,2014,3.212258,Black Pepper
Netherlands,2015,3.935566368,Black Pepper
Netherlands,2016,9.03396401,Black Pepper
Netherlands,2017,1.878,Black Pepper
Netherlands,2018,0.7769,Black Pepper
Singapore,2012,9.498929,Black Pepper
Singapore,2013,10.393445,Black Pepper
Singapore,2014,26.921377,Black Pepper
Singapore,2015,21.14708077,Black Pepper
Singapore,2016,4.852441768,Black Pepper
Singapore,2017,2.6689,Black Pepper
Singapore,2018,1.1108,Black Pepper
Italy,2012,2.637801,Black Pepper
Italy,2013,0.633815,Black Pepper
Italy,2014,1.390375,Black Pepper
Italy,2015,1.584528,Black Pepper
Italy,2016,3.164008,Black Pepper
Italy,2017,1.2591,Black Pepper
Italy,2018,0.2889,Black Pepper
Sri Lanka,2012,0,Black Pepper
Sri Lanka,2013,0.101085,Black Pepper
Sri Lanka,2014,1.8284,Black Pepper
Sri Lanka,2015,0,Black Pepper
Sri Lanka,2016,2.816248,Black Pepper
Sri Lanka,2017,0,Black Pepper
Sri Lanka,2018,0,Black Pepper
Others,2012,28.637547,Black Pepper
Others,2013,15.325614,Black Pepper
Others,2014,9.972279,Black Pepper
Others,2015,14.88126196,Black Pepper
Others,2016,16.82031691,Black Pepper
Others,2017,11.3992,Black Pepper
Others,2018,6.3119,Black Pepper
Japan,2000,72.5924,Coffee
Japan,2001,48.6971,Coffee
Japan,2002,47.5405,Coffee
Japan,2003,47.8744,Coffee
Japan,2004,55.6194,Coffee
Japan,2005,64.321,Coffee
Japan,2006,95.8808,Coffee
Japan,2007,102.7803,Coffee
Japan,2008,123.7814,Coffee
Japan,2009,98.1238,Coffee
Japan,2010,118.8898,Coffee
Japan,2011,174.7122,Coffee
Japan,2012,145.7339,Coffee
Japan,2013,102.909,Coffee
Japan,2014,101.3504,Coffee
Japan,2015,104.9528,Coffee
Japan,2016,86.5045,Coffee
Japan,2017,82.3617,Coffee
Japan,2018,84.3197,Coffee
Singapore,2000,11.6122,Coffee
Singapore,2001,7.5123,Coffee
Singapore,2002,8.7533,Coffee
Singapore,2003,6.6908,Coffee
Singapore,2004,8.186,Coffee
Singapore,2005,20.2694,Coffee
Singapore,2006,24.6499,Coffee
Singapore,2007,28.0735,Coffee
Singapore,2008,17.4473,Coffee
Singapore,2009,12.7888,Coffee
Singapore,2010,9.5683,Coffee
Singapore,2011,15.0557,Coffee
Singapore,2012,32.3104,Coffee
Singapore,2013,22.4084,Coffee
Singapore,2014,21.3269,Coffee
Singapore,2015,30.037,Coffee
Singapore,2016,15.9299,Coffee
Singapore,2017,18.7781,Coffee
Singapore,2018,24.2393,Coffee
Malaysia,2000,5.8637,Coffee
Malaysia,2001,4.4834,Coffee
Malaysia,2002,5.2646,Coffee
Malaysia,2003,4.1017,Coffee
Malaysia,2004,4.9908,Coffee
Malaysia,2005,5.6765,Coffee
Malaysia,2006,9.6599,Coffee
Malaysia,2007,18.1589,Coffee
Malaysia,2008,31.454,Coffee
Malaysia,2009,24.5261,Coffee
Malaysia,2010,36.7978,Coffee
Malaysia,2011,56.4042,Coffee
Malaysia,2012,67.1255,Coffee
Malaysia,2013,73.8188,Coffee
Malaysia,2014,54.5743,Coffee
Malaysia,2015,67.2027,Coffee
Malaysia,2016,67.3524,Coffee
Malaysia,2017,82.0544,Coffee
Malaysia,2018,66.4668,Coffee
India,2000,1.5595,Coffee
India,2001,1.3344,Coffee
India,2002,0.7219,Coffee
India,2003,1.3836,Coffee
India,2004,2.082,Coffee
India,2005,12.9265,Coffee
India,2006,11.1935,Coffee
India,2007,12.1991,Coffee
India,2008,21.6637,Coffee
India,2009,12.9405,Coffee
India,2010,13.2702,Coffee
India,2011,21.298,Coffee
India,2012,38.7524,Coffee
India,2013,32.3359,Coffee
India,2014,25.7372,Coffee
India,2015,31.9143,Coffee
India,2016,17.0585,Coffee
India,2017,15.7861,Coffee
India,2018,4.0966,Coffee
Egypt,2000,4.1614,Coffee
Egypt,2001,2.5877,Coffee
Egypt,2002,2.0919,Coffee
Egypt,2003,3.7104,Coffee
Egypt,2004,4.923,Coffee
Egypt,2005,8.2511,Coffee
Egypt,2006,13.8287,Coffee
Egypt,2007,9.3558,Coffee
Egypt,2008,19.8416,Coffee
Egypt,2009,15.6916,Coffee
Egypt,2010,19.0093,Coffee
Egypt,2011,24.0354,Coffee
Egypt,2012,38.0908,Coffee
Egypt,2013,35.5727,Coffee
Egypt,2014,32.3964,Coffee
Egypt,2015,39.5376,Coffee
Egypt,2016,41.1712,Coffee
Egypt,2017,52.7962,Coffee
Egypt,2018,56.9532,Coffee
Morocco,2000,5.4205,Coffee
Morocco,2001,2.5655,Coffee
Morocco,2002,3.3848,Coffee
Morocco,2003,3.9108,Coffee
Morocco,2004,4.5414,Coffee
Morocco,2005,4.4355,Coffee
Morocco,2006,9.1282,Coffee
Morocco,2007,10.2216,Coffee
Morocco,2008,13.0745,Coffee
Morocco,2009,11.7116,Coffee
Morocco,2010,12.4888,Coffee
Morocco,2011,21.5229,Coffee
Morocco,2012,24.0356,Coffee
Morocco,2013,24.216,Coffee
Morocco,2014,21.1909,Coffee
Morocco,2015,20.3489,Coffee
Morocco,2016,17.863,Coffee
Morocco,2017,23.5457,Coffee
Morocco,2018,20.9506,Coffee
Algeria,2000,1.0475,Coffee
Algeria,2001,0.9541,Coffee
Algeria,2002,1.5374,Coffee
Algeria,2003,2.9568,Coffee
Algeria,2004,8.3564,Coffee
Algeria,2005,17.4205,Coffee
Algeria,2006,15.7423,Coffee
Algeria,2007,13.3768,Coffee
Algeria,2008,47.1242,Coffee
Algeria,2009,37.1486,Coffee
Algeria,2010,15.3905,Coffee
Algeria,2011,13.2854,Coffee
Algeria,2012,21.9704,Coffee
Algeria,2013,43.6221,Coffee
Algeria,2014,20.9491,Coffee
Algeria,2015,30.1452,Coffee
Algeria,2016,17.3532,Coffee
Algeria,2017,38.6291,Coffee
Algeria,2018,8.9461,Coffee
United State,2000,50.981,Coffee
United State,2001,41.9806,Coffee
United State,2002,50.344,Coffee
United State,2003,54.9432,Coffee
United State,2004,79.0574,Coffee
United State,2005,136.567,Coffee
United State,2006,156.1478,Coffee
United State,2007,167.2686,Coffee
United State,2008,173.4042,Coffee
United State,2009,161.2402,Coffee
United State,2010,176.3606,Coffee
United State,2011,274.491,Coffee
United State,2012,330.8147,Coffee
United State,2013,207.0376,Coffee
United State,2014,295.9031,Coffee
United State,2015,281.0791,Coffee
United State,2016,269.8956,Coffee
United State,2017,256.3514,Coffee
United State,2018,254.0307,Coffee
United Kingdom,2000,8.3209,Coffee
United Kingdom,2001,3.8519,Coffee
United Kingdom,2002,5.2992,Coffee
United Kingdom,2003,7.5697,Coffee
United Kingdom,2004,6.8437,Coffee
United Kingdom,2005,15.3587,Coffee
United Kingdom,2006,15.2705,Coffee
United Kingdom,2007,16.2837,Coffee
United Kingdom,2008,29.0167,Coffee
United Kingdom,2009,24.3597,Coffee
United Kingdom,2010,39.1363,Coffee
United Kingdom,2011,38.8013,Coffee
United Kingdom,2012,39.2334,Coffee
United Kingdom,2013,43.2173,Coffee
United Kingdom,2014,35.4904,Coffee
United Kingdom,2015,45.7288,Coffee
United Kingdom,2016,40.5461,Coffee
United Kingdom,2017,51.8193,Coffee
United Kingdom,2018,24.3623,Coffee
Germany,2000,37.3026,Coffee
Germany,2001,18.3964,Coffee
Germany,2002,28.7768,Coffee
Germany,2003,37.4814,Coffee
Germany,2004,37.4691,Coffee
Germany,2005,78.1641,Coffee
Germany,2006,79.1271,Coffee
Germany,2007,76.3155,Coffee
Germany,2008,173.9551,Coffee
Germany,2009,109.4084,Coffee
Germany,2010,107.9434,Coffee
Germany,2011,70.5174,Coffee
Germany,2012,116.8793,Coffee
Germany,2013,122.1029,Coffee
Germany,2014,84.4592,Coffee
Germany,2015,88.413,Coffee
Germany,2016,90.1851,Coffee
Germany,2017,103.9925,Coffee
Germany,2018,42.8595,Coffee
Italy,2000,16.7066,Coffee
Italy,2001,7.5231,Coffee
Italy,2002,8.9504,Coffee
Italy,2003,17.825,Coffee
Italy,2004,15.2565,Coffee
Italy,2005,27.6526,Coffee
Italy,2006,34.206,Coffee
Italy,2007,34.7701,Coffee
Italy,2008,60.6139,Coffee
Italy,2009,53.1024,Coffee
Italy,2010,43.2257,Coffee
Italy,2011,57.7579,Coffee
Italy,2012,64.6363,Coffee
Italy,2013,77.1305,Coffee
Italy,2014,60.6384,Coffee
Italy,2015,84.0054,Coffee
Italy,2016,66.3545,Coffee
Italy,2017,79.6673,Coffee
Italy,2018,54.049,Coffee
Romania,2000,3.5195,Coffee
Romania,2001,2.5892,Coffee
Romania,2002,4.6011,Coffee
Romania,2003,5.2595,Coffee
Romania,2004,4.1602,Coffee
Romania,2005,6.7815,Coffee
Romania,2006,9.3683,Coffee
Romania,2007,6.897,Coffee
Romania,2008,8.5114,Coffee
Romania,2009,6.5775,Coffee
Romania,2010,3.3956,Coffee
Romania,2011,3.1199,Coffee
Romania,2012,2.8667,Coffee
Romania,2013,0.9875,Coffee
Romania,2014,0.812,Coffee
Romania,2015,0.8942,Coffee
Romania,2016,0.5386,Coffee
Romania,2017,2.1166,Coffee
Romania,2018,2.0557,Coffee
Georgia,2000,2.4736,Coffee
Georgia,2001,1.1969,Coffee
Georgia,2002,2.362,Coffee
Georgia,2003,2.9959,Coffee
Georgia,2004,3.1666,Coffee
Georgia,2005,6.332,Coffee
Georgia,2006,10.9196,Coffee
Georgia,2007,10.1904,Coffee
Georgia,2008,18.2422,Coffee
Georgia,2009,16.0209,Coffee
Georgia,2010,13.6509,Coffee
Georgia,2011,15.2533,Coffee
Georgia,2012,19.3234,Coffee
Georgia,2013,22.8456,Coffee
Georgia,2014,20.3683,Coffee
Georgia,2015,22.0434,Coffee
Georgia,2016,20.9802,Coffee
Georgia,2017,24.7571,Coffee
Georgia,2018,20.0492,Coffee
Belgium and Luxembourg,2000,4.5065,Coffee
Belgium and Luxembourg,2001,3.3858,Coffee
Belgium and Luxembourg,2002,4.5146,Coffee
Belgium and Luxembourg,2003,3.4469,Coffee
Belgium and Luxembourg,2004,6.152,Coffee
Belgium and Luxembourg,2005,13.6092,Coffee
Belgium and Luxembourg,2006,7.3904,Coffee
Belgium and Luxembourg,2007,8.8791,Coffee
Belgium and Luxembourg,2008,70.2101,Coffee
Belgium and Luxembourg,2009,48.1808,Coffee
Belgium and Luxembourg,2010,30.4924,Coffee
Belgium and Luxembourg,2011,49.2549,Coffee
Belgium and Luxembourg,2012,38.6313,Coffee
Belgium and Luxembourg,2013,45.3572,Coffee
Belgium and Luxembourg,2014,32.6297,Coffee
Belgium and Luxembourg,2015,15.6734,Coffee
Belgium and Luxembourg,2016,28.8219,Coffee
Belgium and Luxembourg,2017,31.538,Coffee
Belgium and Luxembourg,2018,23.7296,Coffee
Netherland,2000,3.9166,Coffee
Netherland,2001,2.7195,Coffee
Netherland,2002,2.9191,Coffee
Netherland,2003,3.6995,Coffee
Netherland,2004,2.5092,Coffee
Netherland,2005,3.567,Coffee
Netherland,2006,4.1137,Coffee
Netherland,2007,2.82,Coffee
Netherland,2008,4.8834,Coffee
Netherland,2009,6.8105,Coffee
Netherland,2010,5.415,Coffee
Netherland,2011,4.9382,Coffee
Netherland,2012,6.3999,Coffee
Netherland,2013,5.2308,Coffee
Netherland,2014,6.1519,Coffee
Netherland,2015,10.2623,Coffee
Netherland,2016,16.2165,Coffee
Netherland,2017,9.2362,Coffee
Netherland,2018,6.7669,Coffee
Denmark,2000,1.2236,Coffee
Denmark,2001,1.1816,Coffee
Denmark,2002,1.0539,Coffee
Denmark,2003,0.9861,Coffee
Denmark,2004,1.1526,Coffee
Denmark,2005,0.8552,Coffee
Denmark,2006,0.9023,Coffee
Denmark,2007,1.3866,Coffee
Denmark,2008,0.9412,Coffee
Denmark,2009,1.116,Coffee
Denmark,2010,1.5196,Coffee
Denmark,2011,0.743,Coffee
Denmark,2012,0.9048,Coffee
Denmark,2013,0.7809,Coffee
Denmark,2014,0.9831,Coffee
Denmark,2015,0.6878,Coffee
Denmark,2016,0.7126,Coffee
Denmark,2017,0.2373,Coffee
Denmark,2018,0.2595,Coffee
France,2000,1.9494,Coffee
France,2001,0.1414,Coffee
France,2002,1.6775,Coffee
France,2003,1.2057,Coffee
France,2004,1.6075,Coffee
France,2005,3.4539,Coffee
France,2006,2.2458,Coffee
France,2007,4.9896,Coffee
France,2008,11.8396,Coffee
France,2009,12.4158,Coffee
France,2010,9.0478,Coffee
France,2011,8.8705,Coffee
